lam,Sum,NeI,NeII
632.2,3.408e+2,3.408e+2,1.473e-42
632.3,5.716e+2,5.716e+2,2.848e-43
632.5,1.438e+3,1.438e+3,9.149e-45
632.6,2.142e+3,2.142e+3,1.520e-45
632.7,3.053e+3,3.053e+3,2.402e-46
632.9,5.409e+3,5.409e+3,
633,6.710e+3,6.710e+3,
633.1,7.935e+3,7.935e+3,
633.2,8.941e+3,8.941e+3,
633.4,9.807e+3,9.807e+3,
633.5,9.543e+3,9.543e+3,
633.6,8.838e+3,8.838e+3,
633.8,6.536e+3,6.536e+3,
633.9,5.218e+3,5.218e+3,
634,3.964e+3,3.964e+3,
634.1,2.865e+3,2.865e+3,
634.3,1.289e+3,1.289e+3,
634.4,8.028e+2,8.028e+2,
634.5,4.755e+2,4.755e+2,
634.7,1.437e+2,1.437e+2,
634.8,7.331e+1,7.331e+1,
634.9,3.558e+1,3.558e+1,
635,1.643e+1,1.643e+1,
635.2,3.017e+0,3.017e+0,
635.3,1.200e+0,1.200e+0,
635.4,4.539e-1,4.539e-1,
635.6,5.613e-2,5.613e-2,
635.7,1.891e-2,1.891e-2,
635.8,8.043e-3,8.043e-3,
635.9,9.638e-3,9.638e-3,
636.1,7.637e-2,7.637e-2,
636.2,2.191e-1,2.191e-1,
636.3,5.993e-1,5.993e-1,
636.5,3.870e+0,3.870e+0,
636.6,9.138e+0,9.138e+0,
636.7,2.054e+1,2.054e+1,
636.8,4.396e+1,4.396e+1,8.353e-47
637,1.738e+2,1.738e+2,3.390e-45
637.1,3.210e+2,3.210e+2,2.007e-44
637.2,5.644e+2,5.644e+2,1.132e-43
637.4,1.507e+3,1.507e+3,3.111e-42
637.5,2.287e+3,2.287e+3,1.516e-41
637.6,3.305e+3,3.305e+3,7.035e-41
637.7,4.547e+3,4.547e+3,3.109e-40
637.9,7.428e+3,7.428e+3,5.249e-39
638,8.821e+3,8.821e+3,2.005e-38
638.1,9.973e+3,9.973e+3,7.292e-38
638.3,1.101e+4,1.101e+4,8.336e-37
638.4,1.075e+4,1.075e+4,2.620e-36
638.5,1.001e+4,1.001e+4,7.842e-36
638.6,8.905e+3,8.905e+3,2.236e-35
638.8,6.320e+3,6.320e+3,1.570e-34
