lam,Sum,NeI,NeII
718.1,5.196e+2,5.196e+2,
718.2,3.883e+2,3.883e+2,
718.4,1.929e+2,1.929e+2,
718.5,1.283e+2,1.283e+2,
718.6,8.204e+1,8.204e+1,
718.8,2.987e+1,2.987e+1,
718.9,1.700e+1,1.700e+1,
719,9.309e+0,9.309e+0,
719.1,4.903e+0,4.903e+0,
719.3,1.210e+0,1.210e+0,
719.4,5.672e-1,5.672e-1,
719.5,2.557e-1,2.557e-1,
719.7,4.626e-2,4.626e-2,
719.8,1.856e-2,1.856e-2,
719.9,7.163e-3,7.163e-3,
720,2.659e-3,2.659e-3,
720.2,3.261e-4,3.261e-4,
720.3,1.077e-4,1.077e-4,
720.4,3.424e-5,3.424e-5,
720.6,3.078e-6,3.078e-6,
720.7,8.740e-7,8.740e-7,
720.8,2.527e-7,2.527e-7,
720.9,1.261e-7,1.261e-7,
721.1,9.272e-7,9.272e-7,
721.2,3.310e-6,3.310e-6,
721.3,1.142e-5,1.142e-5,
721.5,1.212e-4,1.212e-4,
721.6,3.729e-4,3.729e-4,
721.7,1.104e-3,1.104e-3,
721.8,3.149e-3,3.149e-3,
722,2.284e-2,2.284e-2,
722.1,5.808e-2,5.808e-2,
722.2,1.422e-1,1.422e-1,
722.4,7.602e-1,7.602e-1,
722.5,1.660e+0,1.660e+0,
722.6,3.490e+0,3.490e+0,
722.7,7.062e+0,7.062e+0,
722.9,2.580e+1,2.580e+1,
723,4.656e+1,4.656e+1,
723.1,8.090e+1,8.090e+1,
723.3,2.179e+2,2.179e+2,
723.4,3.376e+2,3.376e+2,
723.5,5.037e+2,5.037e+2,
723.6,7.234e+2,7.234e+2,
723.8,1.331e+3,1.331e+3,
723.9,1.705e+3,1.705e+3,
724,2.102e+3,2.102e+3,
724.2,2.852e+3,2.852e+3,
724.3,3.137e+3,3.137e+3,
724.4,3.321e+3,3.321e+3,
724.5,3.385e+3,3.385e+3,
724.7,3.137e+3,3.137e+3,
724.8,2.852e+3,2.852e+3,
724.9,2.496e+3,2.496e+3,
725.1,1.705e+3,1.705e+3,
725.2,1.331e+3,1.331e+3,
725.3,1.000e+3,1.000e+3,
725.5,5.037e+2,5.037e+2,
725.6,3.376e+2,3.376e+2,
725.7,2.179e+2,2.179e+2,
725.8,1.353e+2,1.353e+2,
726,4.656e+1,4.656e+1,
726.1,2.580e+1,2.580e+1,
726.2,1.376e+1,1.376e+1,
726.4,3.490e+0,3.490e+0,
726.5,1.660e+0,1.660e+0,
726.6,7.602e-1,7.602e-1,
726.7,3.351e-1,3.351e-1,
726.9,5.808e-2,5.808e-2,
727,2.284e-2,2.284e-2,
727.1,8.643e-3,8.643e-3,
727.3,1.104e-3,1.104e-3,
727.4,3.729e-4,3.729e-4,
727.5,1.212e-4,1.212e-4,
727.6,3.791e-5,3.791e-5,
727.8,3.309e-6,3.309e-6,
727.9,9.235e-7,9.235e-7,
728,2.481e-7,2.481e-7,
728.2,1.597e-8,1.597e-8,
728.3,3.825e-9,3.825e-9,
728.4,8.823e-10,8.823e-10,
728.5,1.959e-10,1.959e-10,
728.7,8.613e-12,8.613e-12,
728.8,1.706e-12,1.706e-12,
728.9,3.252e-13,3.252e-13,
739.4,1.006e-13,1.006e-13,
739.5,5.023e-13,5.023e-13,
739.6,2.420e-12,2.420e-12,
739.7,1.124e-11,1.124e-11,
739.9,2.178e-10,2.178e-10,
740,9.078e-10,9.078e-10,
740.1,3.650e-9,3.650e-9,
740.3,5.294e-8,5.294e-8,
740.4,1.910e-7,1.910e-7,
740.5,6.646e-7,6.646e-7,
740.6,2.230e-6,2.230e-6,
740.8,2.254e-5,2.254e-5,
740.9,6.787e-5,6.787e-5,
741,1.971e-4,1.971e-4,
741.2,1.492e-3,1.492e-3,
741.3,3.887e-3,3.887e-3,
741.4,9.770e-3,9.770e-3,
741.5,2.368e-2,2.368e-2,
741.7,1.249e-1,1.249e-1,
741.8,2.716e-1,2.716e-1,
741.9,5.698e-1,5.698e-1,
742.1,2.250e+0,2.250e+0,
742.2,4.235e+0,4.235e+0,
742.3,7.689e+0,7.689e+0,
742.5,2.274e+1,2.274e+1,
742.6,3.704e+1,3.704e+1,
742.7,5.819e+1,5.819e+1,
742.8,8.818e+1,8.818e+1,
743,1.817e+2,1.817e+2,
743.1,2.470e+2,2.470e+2,
743.2,3.239e+2,3.239e+2,
743.4,4.998e+2,4.998e+2,
743.5,5.881e+2,5.881e+2,
743.6,6.674e+2,6.674e+2,
743.7,7.305e+2,7.305e+2,
743.9,7.852e+2,7.852e+2,
744,7.712e+2,7.712e+2,
744.1,7.305e+2,7.305e+2,
744.3,5.881e+2,5.881e+2,
744.4,4.998e+2,4.998e+2,
744.5,4.097e+2,4.097e+2,
744.6,3.239e+2,3.239e+2,
744.8,1.817e+2,1.817e+2,
744.9,1.289e+2,1.289e+2,
745,8.818e+1,8.818e+1,
745.2,3.704e+1,3.704e+1,
745.3,2.274e+1,2.274e+1,
745.4,1.346e+1,1.346e+1,
745.5,7.689e+0,7.689e+0,
745.7,2.250e+0,2.250e+0,
745.8,1.153e+0,1.153e+0,
745.9,5.698e-1,5.698e-1,
746.1,1.249e-1,1.249e-1,
746.2,5.538e-2,5.538e-2,
