lam,int
576.78,2365.8
576.85,2368.5
576.92,2368.2
576.98,2448.4
577.05,2318.1
577.12,2377.1
577.19,2340.6
577.26,2225.4
577.32,2246.3
577.39,2160.9
577.46,2308.9
577.53,2294.8
577.60,2306.9
577.67,2271.8
577.73,2300.0
577.80,2303.5
577.87,2199.2
577.94,2264.0
578.01,2296.5
578.07,2395.8
578.14,2363.2
578.21,2308.7
578.28,2350.2
578.35,2297.9
578.42,2276.1
578.48,2294.4
578.55,2367.7
578.62,2408.9
578.69,2290.8
578.76,2235.1
578.82,2210.9
578.89,2209.6
578.96,2180.2
579.03,2150.0
579.10,2192.6
579.16,2190.1
579.23,2168.7
579.30,2119.5
579.37,2186.5
579.44,2233.7
579.50,2163.6
579.57,2168.7
579.64,2192.1
579.71,2166.0
579.78,2132.6
579.84,2143.0
579.91,2145.3
579.98,2075.1
580.05,2068.4
580.12,2082.7
580.18,2070.8
580.25,2061.7
580.32,2002.8
580.39,1984.7
580.46,2060.7
580.52,2232.0
580.59,2227.4
580.66,2235.4
580.73,2362.2
580.80,2313.6
580.86,2208.4
580.93,2195.2
581.00,2290.9
581.07,2321.5
581.14,2334.4
581.20,2277.8
581.27,2180.2
581.34,2172.1
581.41,2134.4
581.48,2145.5
581.54,2211.8
581.61,2222.6
581.68,2182.1
581.75,2196.6
581.81,2231.6
581.88,2205.3
581.95,2191.9
582.02,2291.6
582.09,2376.9
582.15,2383.6
582.22,2285.3
582.29,2230.1
582.36,2368.0
582.43,2324.9
582.49,2273.4
582.56,2282.7
582.63,2347.9
582.70,2299.0
582.76,2201.6
582.83,2285.5
582.90,2295.2
582.97,2385.1
583.04,2314.0
583.10,2299.3
583.17,2384.6
583.24,2355.6
583.31,2271.6
583.37,2248.5
583.44,2365.2
583.51,2351.7
583.58,2306.0
583.64,2276.2
583.71,2293.7
583.78,2297.8
583.85,2239.1
583.92,2254.6
583.98,2385.8
584.05,2558.5
584.12,2771.8
584.19,3205.6
584.25,4145.6
584.32,5312.0
584.39,6445.1
584.46,7697.9
584.52,9028.6
584.59,10351
584.66,11622
584.73,12946
584.79,14284
584.86,15446
584.93,16238
585.00,16581
585.07,16703
585.13,16815
585.20,16546
585.27,15966
585.34,15113
585.40,13791
585.47,12360
585.54,10878
585.61,9595.2
585.67,8215.6
585.74,6814.9
585.81,5679.7
585.88,4519.2
585.94,3577.4
586.01,2928.8
586.08,2630.0
586.15,2593.2
586.21,2594.5
586.28,2486.3
586.35,2431.8
586.42,2475.1
586.48,2471.5
586.55,2285.5
586.62,2232.6
586.69,2343.0
586.75,2289.5
586.82,2261.0
586.89,2270.1
586.96,2324.7
587.02,2397.3
587.09,2423.3
587.16,2526.6
587.22,2623.3
587.29,2693.1
587.36,2703.7
587.43,2685.1
587.49,2816.7
587.56,2916.6
587.63,2963.9
587.70,3079.7
587.76,3196.7
587.83,3227.4
587.90,3198.0
587.97,3181.6
588.03,3235.6
588.10,3259.4
588.17,3129.3
588.24,2956.7
588.30,2925.6
588.37,2829.0
588.44,2663.3
588.50,2532.1
588.57,2519.9
588.64,2489.5
588.71,2371.1
588.77,2326.3
588.84,2258.1
588.91,2279.8
588.98,2209.9
589.04,2204.8
589.11,2298.2
589.18,2320.5
589.24,2403.7
589.31,2344.4
589.38,2412.4
589.45,2444.2
589.51,2365.4
589.58,2367.4
589.65,2380.7
589.71,2476.5
589.78,2402.7
589.85,2399.2
589.92,2418.4
589.98,2334.2
590.05,2280.1
590.12,2251.0
590.18,2284.0
590.25,2344.5
590.32,2332.6
590.39,2322.6
590.45,2324.7
590.52,2317.5
590.59,2305.6
590.65,2261.3
590.72,2324.0
590.79,2321.6
590.86,2388.9
590.92,2385.4
590.99,2369.1
591.06,2446.5
591.12,2394.3
591.19,2409.3
591.26,2363.7
591.33,2358.2
591.39,2325.6
591.46,2401.3
591.53,2479.0
591.59,2312.3
591.66,2286.3
591.73,2209.8
591.79,2166.3
591.86,2148.9
591.93,2119.1
592.00,2181.7
592.06,2244.2
592.13,2272.3
592.20,2162.9
592.26,2150.3
592.33,2201.9
592.40,2173.3
592.46,2116.9
592.53,2141.3
592.60,2191.5
592.67,2166.8
592.73,2086.8
592.80,2033.8
592.87,2059.6
592.93,1967.8
593.00,1878.3
593.07,1881.5
593.13,1941.9
593.20,1951.3
593.27,1937.4
593.33,2005.2
593.40,2127.7
593.47,2319.5
593.53,2442.5
593.60,2694.5
593.67,2949.7
