lam	int
300.78375	282.666656494
300.78973	281.333312988
300.79575	279.666656494
300.80173	282.666656494
300.80774	298.000000000
300.81375	306.333312988
300.81973	300.333312988
300.82574	311.666656494
300.83173	343.000000000
300.83774	422.000000000
300.84372	459.333312988
300.84973	396.666656494
300.85574	336.333312988
300.86172	287.666656494
300.86774	268.666656494
300.87372	279.666656494
300.87973	266.000000000
300.88571	287.333312988
300.89172	274.333312988
300.89771	295.333312988
300.90372	288.333312988
300.90973	281.000000000
300.91571	277.000000000
300.92172	289.000000000
300.92770	303.000000000
300.93372	292.666656494
300.93970	284.666656494
300.94571	258.000000000
300.95169	266.666656494
300.95770	282.666656494
300.96368	276.666656494
300.96970	274.333312988
300.97568	288.000000000
300.98169	271.666656494
300.98767	301.000000000
300.99368	281.666656494
300.99966	268.666656494
301.00568	283.000000000
301.01166	280.333312988
301.01767	306.666656494
301.02365	281.000000000
301.02963	280.666656494
301.03564	287.666656494
301.04163	276.000000000
301.04764	281.333312988
301.05362	278.333312988
301.05963	281.666656494
301.06561	290.333312988
301.07162	287.666656494
301.07761	276.333312988
301.08359	282.333312988
301.08960	296.666656494
301.09558	281.000000000
301.10159	259.333312988
301.10757	286.333312988
301.11356	279.666656494
301.11957	292.333312988
301.12555	287.333312988
301.13156	280.333312988
301.13754	293.666656494
301.14352	289.666656494
301.14954	282.666656494
301.15552	293.000000000
301.16153	272.000000000
301.16751	293.000000000
301.17349	272.333312988
301.17950	276.000000000
301.18549	275.333312988
301.19147	276.000000000
301.19748	300.666656494
301.20346	286.666656494
301.20947	279.000000000
301.21545	264.333312988
301.22144	292.000000000
301.22745	280.666656494
301.23343	276.666656494
301.23941	280.000000000
301.24542	296.666656494
301.25140	284.666656494
301.25739	312.000000000
301.26340	302.666656494
301.26938	304.333312988
301.27536	326.666656494
301.28134	361.333312988
301.28735	409.333312988
301.29333	622.666656494
301.29932	759.666656494
301.30533	580.000000000
301.31131	374.666656494
301.31729	316.000000000
301.32327	298.666656494
301.32928	296.333312988
301.33527	287.666656494
301.34125	296.000000000
301.34726	283.666656494
301.35324	281.333312988
301.35922	253.000000000
301.36520	273.333312988
301.37122	282.666656494
301.37720	275.666656494
301.38318	299.333312988
301.38916	279.666656494
301.39517	290.333312988
301.40115	282.000000000
301.40714	296.333312988
301.41312	280.000000000
301.41910	288.666656494
301.42511	281.000000000
301.43109	285.000000000
301.43707	293.666656494
301.44305	281.333312988
301.44907	291.000000000
301.45505	295.666656494
301.46103	298.666656494
