tau,tk_1,tk_2,t0_1,t0_2
965.522,25.5,25.4,20.3,20.3
967.526,25.5,25.5,20.3,20.3
969.531,25.5,25.5,20.3,20.3
971.538,25.6,25.5,20.3,20.3
973.543,25.6,25.5,20.3,20.3
975.548,25.6,25.6,20.3,20.3
977.553,25.6,25.6,20.3,20.3
979.558,25.7,25.6,20.3,20.3
981.562,25.7,25.6,20.3,20.3
983.566,25.7,25.7,20.3,20.3
985.57,25.7,25.7,20.3,20.3
987.574,25.8,25.7,20.3,20.3
989.58,25.8,25.7,20.3,20.3
991.583,25.8,25.8,20.3,20.3
993.588,25.8,25.8,20.3,20.3
995.594,25.9,25.8,20.3,20.3
997.599,25.9,25.8,20.3,20.2
999.603,25.9,25.9,20.3,20.2
1001.61,25.9,25.9,20.3,20.2
1003.61,26,25.9,20.3,20.3
1005.61,26,25.9,20.3,20.3
1007.62,26,26,20.3,20.3
1009.62,26,26,20.3,20.3
1011.62,26.1,26,20.3,20.3
1013.63,26.1,26,20.3,20.3
1015.63,26.1,26,20.3,20.3
1017.63,26.1,26.1,20.3,20.3
1019.64,26.1,26.1,20.3,20.3
1021.64,26.2,26.1,20.3,20.3
1023.65,26.2,26.1,20.3,20.3
1025.65,26.2,26.2,20.3,20.3
1027.66,26.2,26.2,20.4,20.4
1029.66,26.3,26.2,20.4,20.4
1031.67,26.3,26.2,20.4,20.4
1033.67,26.3,26.3,20.4,20.4
1035.68,26.3,26.3,20.4,20.4
1037.68,26.4,26.3,20.4,20.4
1039.69,26.4,26.3,20.4,20.4
1041.69,26.4,26.4,20.4,20.4
1043.69,26.4,26.4,20.4,20.4
1045.7,26.5,26.4,20.4,20.4
1047.7,26.5,26.4,20.4,20.4
1049.71,26.5,26.5,20.4,20.4
1051.71,26.5,26.5,20.3,20.4
1053.71,26.6,26.5,20.3,20.4
1055.71,26.6,26.5,20.3,20.3
1057.72,26.6,26.6,20.3,20.3
1059.72,26.6,26.6,20.3,20.3
1061.73,26.6,26.6,20.3,20.3
1063.74,26.7,26.6,20.3,20.3
1065.74,26.7,26.6,20.3,20.3
1067.74,26.7,26.7,20.3,20.3
1069.75,26.7,26.7,20.3,20.3
1071.76,26.8,26.7,20.3,20.4
1073.76,26.8,26.7,20.3,20.4
1075.76,26.8,26.8,20.3,20.4
1077.77,26.8,26.8,20.4,20.4
1079.77,26.9,26.8,20.4,20.4
1081.78,26.9,26.8,20.4,20.4
1083.78,26.9,26.9,20.4,20.4
1085.79,26.9,26.9,20.3,20.4
1087.79,27,26.9,20.3,20.4
1089.8,27,26.9,20.4,20.4
1091.8,27,27,20.4,20.4
1093.81,27,27,20.4,20.4
1095.81,27.1,27,20.4,20.4
1097.82,27.1,27,20.4,20.4
1099.82,27.1,27.1,20.4,20.4
1101.83,27.1,27.1,20.4,20.4
1103.83,27.1,27.1,20.4,20.4
1105.84,27.2,27.1,20.4,20.4
1107.84,27.2,27.1,20.4,20.4
1109.84,27.2,27.2,20.4,20.4
