lambda,T
448.0000305,1.2375462
450.0000305,1.5805997
452.0000305,1.9931118
454.0000305,2.4740915
456.0000305,3.0410912
458.0000305,3.6892385
460.0000305,4.4375062
462.0000305,5.2728028
464.0000305,6.2069283
466.0000305,7.2373357
468.0000305,8.3582811
470.0000305,9.5714045
472.0000305,10.7855301
474.0000305,12.0054054
476.0000305,13.2516766
478.0000305,14.5186071
480.0000305,15.7866049
482.0000305,17.0529594
484.0000305,18.3396435
486.0000305,19.5856495
488.0000305,20.7799072
490.0000305,21.9729595
492.0000305,23.1717873
494.0000305,24.3420773
496.0000305,25.4831600
498.0000305,26.6250916
500.0000305,27.6544132
502.0000305,28.6856003
504.0000305,29.6079063
506.0000305,30.4505558
508.0000305,31.2231827
510.0000305,31.9916134
512.0000000,32.7864609
514.0000000,33.4917641
516.0000000,34.1412315
518.0000000,34.7316132
520.0000000,35.2823524
522.0000000,35.8345070
524.0000000,36.2941742
526.0000000,36.6642609
528.0000000,36.9797096
530.0000000,37.2813530
532.0000000,37.5516624
534.0000000,37.7231102
536.0000000,37.8389778
538.0000000,37.8939819
540.0000000,37.9527779
542.0000000,37.9702225
544.0000000,37.9270477
546.0000000,37.7752647
548.0000000,37.5690651
550.0000000,37.2958717
552.0000000,37.0098419
554.0000000,36.6882591
556.0000000,36.3081398
558.0000000,35.8314095
560.0000000,35.3011932
562.0000000,34.7638168
564.0000000,34.2221870
566.0000000,33.6191025
568.0000000,32.9859047
570.0000000,32.2048187
572.0000000,31.4073906
574.0000000,30.5660763
576.0000000,29.6644669
578.0000000,28.7276688
580.0000000,27.6595936
582.0000000,26.5113888
584.0000000,25.2931824
586.0000000,24.0171795
588.0000000,22.6999607
590.0000000,21.3784237
592.0000000,19.9961319
594.0000000,18.5645351
596.0000000,17.1791992
598.0000000,15.8570175
600.0000000,14.6209574
602.0000000,13.5140934
604.0000000,12.5098162
606.0000000,11.6112223
608.0000000,10.8407784
610.0000000,10.2222996
612.0000000,9.7228975
614.0000000,9.3339243
616.0000000,9.0432119
618.0000000,8.8254566
620.0000000,8.6573343
622.0000000,8.5356989
624.0000000,8.4495478
626.0000000,8.3825645
628.0000000,8.3428679
630.0000000,8.3231897
632.0000000,8.3098030
634.0000000,8.2883759
636.0000000,8.2582893
638.0000000,8.2276917
640.0000000,8.1993361
642.0000000,8.1688375
644.0000610,8.1650372
646.0000610,8.1940393
648.0000610,8.2565403
650.0000610,8.3591280
652.0000610,8.5090256
654.0000610,8.7236042
656.0000610,8.9851074
658.0000610,9.3173704
660.0000610,9.7288027
662.0000610,10.2085400
664.0000610,10.7382469
666.0000610,11.2934341
668.0000610,11.8766613
670.0000610,12.4740620
672.0000610,13.0840693
674.0000610,13.6813993
676.0000610,14.2803354
678.0000610,14.8729706
680.0000610,15.4293404
682.0000610,15.9690714
684.0000610,16.4422398
686.0000610,16.8905315
688.0000610,17.2869453
690.0000610,17.6448631
692.0000610,17.9640694
694.0000610,18.2605228
696.0000610,18.5284939
698.0000610,18.7781944
700.0000610,18.9921303
702.0000610,19.2173958
704.0000610,19.4052143
706.0000610,19.5569134
708.0000610,19.6490593
710.0000610,19.6955147
712.0000610,19.7006512
714.0000610,19.6529961
716.0000610,19.5738945
718.0000610,19.4760780
720.0000610,19.3741207
722.0000610,19.3024311
724.0000610,19.2676144
726.0000610,19.2990398
728.0000610,19.4207420
730.0000610,19.6410713
732.0000610,19.9457626
734.0000610,20.3366146
736.0000610,20.8079796
738.0000610,21.3436604
740.0000610,21.9299507
742.0000610,22.5611877
744.0000610,23.2205429
746.0000610,23.9360828
748.0000610,24.6087646
750.0000610,25.2723370
752.0000610,25.9066753
754.0000610,26.5183182
756.0000610,27.0953636
758.0000610,27.6414986
760.0000610,28.1208229
762.0000610,28.5414734
764.0000610,28.8871670
766.0000610,29.1844654
768.0000610,29.4423885
770.0000610,29.6743450
772.0000610,29.8835888
774.0000610,30.0520725
776.0000610,30.2087021
778.0000610,30.3625774
780.0000610,30.5092545
782.0000610,30.6808167
784.0000610,30.8866749
786.0000610,31.0755119
788.0000610,31.3020535
790.0000610,31.5773468
792.0000610,31.9164734
794.0000610,32.2963333
796.0000610,32.7378349
798.0000610,33.1946068
800.0000610,33.6556740
802.0000610,34.1779442
804.0000610,34.7302361
806.0000610,35.2605705
808.0000610,35.7889633
810.0000610,36.3047256
812.0000610,36.7760353
814.0000610,37.2747383
816.0000610,37.7694855
818.0000610,38.3291168
820.0000610,38.8763161
822.0000610,39.3612175
824.0000610,39.8152695
826.0000610,40.1838074
828.0000610,40.5122604
830.0000610,40.8062439
832.0000610,41.1119080
834.0000610,41.4044304
836.0000610,41.6831398
838.0000610,41.9799004
840.0000610,42.2701378
842.0000610,42.5374527
844.0000610,42.8410187
846.0000610,43.1364975
848.0000610,43.4366951
850.0000610,43.6899948
852.0000610,43.9132500
854.0000610,44.1203690
856.0000610,44.2833595
858.0000610,44.4065514
860.0000610,44.5280457
862.0000610,44.5397911
864.0000610,44.5421906
866.0000610,44.4928207
868.0000610,44.3690033
870.0000610,44.2407990
872.0000610,44.0975342
874.0000610,43.9912415
876.0000610,44.0370865
878.0000610,44.2230263
880.0000610,44.5016289
882.0000610,44.8272438
884.0000610,45.0543747
886.0000610,45.2110443
888.0000610,45.3116226
890.0000610,45.3594589
892.0000610,45.3667946
894.0000610,45.4179382
896.0000610,45.4337044
898.0000610,45.4313431
900.0000610,45.5082932
902.0000610,45.6370735
904.0000610,45.8103333
906.0000610,46.0257454
908.0000610,46.2407570
910.0000610,46.4705544
912.0000610,46.6920929
914.0000610,46.8961334
916.0000610,47.1271477
918.0000610,47.3540039
920.0000610,47.5672302
922.0000610,47.7723465
924.0000610,47.9598160
926.0000610,48.1616058
928.0000610,48.3431969
930.0000610,48.4879532
932.0000610,48.6680489
934.0000610,48.8513527
936.0000610,49.0352631
938.0000610,49.1923828
940.0000610,49.3341026
942.0000610,49.4887657
944.0000610,49.6330376
946.0000610,49.7405090
948.0000610,49.8455963
950.0000610,49.9188347
952.0000610,49.9734459
954.0000610,50.0540810
956.0000610,50.1082573
958.0000610,50.1492653
960.0000610,50.2293282
962.0000610,50.2704887
964.0000610,50.2824593
966.0000610,50.3182487
968.0000610,50.3330536
970.0000610,50.3539047
972.0000610,50.3824615
974.0000610,50.4049225
976.0000610,50.3995438
978.0000610,50.3744698
980.0000610,50.3410606
982.0000610,50.3150711
984.0000610,50.2509842
986.0000610,50.2233772
988.0000610,50.2016869
990.0000610,50.2081413
992.0000610,50.2293396
994.0000610,50.1882668
996.0000610,50.1328545
998.0000610,50.0458603
1000.0000610,49.9434204
1002.0000610,49.8960304
1004.0000610,49.8716812
1006.0000610,49.8646812
1008.0000610,49.9210968
1010.0000610,49.9796410
