lambda,T
982.0000610,89.5852509
984.0000610,89.5656509
986.0000610,89.5818710
988.0000610,89.5854492
990.0000610,89.5449982
992.0000610,89.5670624
994.0000610,89.5934677
996.0000610,89.6495438
998.0000610,89.6579361
1000.0000610,89.6582794
1002.0000610,89.6925812
1004.0000610,89.7554932
1006.0000610,89.7695465
1008.0000610,89.7904510
1010.0000610,89.8080368
1012.0000610,89.8341141
1014.0000610,89.8524323
1016.0000610,89.8192520
1018.0000610,89.8650665
1020.0000610,89.9213181
1022.0000610,89.9422913
1024.0000000,89.9928970
1026.0000000,89.9884796
1028.0000000,90.0467300
1030.0000000,90.0807266
1032.0000000,90.1282654
1034.0000000,90.1542130
1036.0000000,90.2293091
1038.0000000,90.2746887
1040.0000000,90.3200989
1042.0000000,90.3592453
1044.0000000,90.4167480
1046.0000000,90.4499054
1048.0000000,90.5116806
1050.0000000,90.5298843
1052.0000000,90.5463181
1054.0000000,90.5752487
1056.0000000,90.6451111
1058.0000000,90.7346191
1060.0000000,90.8125381
1062.0000000,90.8543549
1064.0000000,90.8707733
1066.0000000,90.8475342
1068.0000000,90.7903976
1070.0000000,90.7983551
1072.0000000,90.7952042
1074.0000000,90.8588333
1076.0000000,90.8566284
1078.0000000,90.8773575
1080.0000000,90.9144287
1082.0000000,90.9429932
1084.0000000,90.9245071
1086.0000000,90.9462585
1088.0000000,90.9996872
1090.0000000,90.9946365
1092.0000000,90.9960251
1094.0000000,91.0425110
1096.0000000,91.0540695
1098.0000000,91.0897827
1100.0000000,91.1007614
