U_D I_D U_G
13.499999999999968 6.625316560000001 3.4
13.599999999999968 6.63561846 3.4
13.699999999999967 6.626736169999999 3.4
13.799999999999967 6.642835750000001 3.4
13.899999999999967 6.64012955 3.4
13.999999999999966 6.64172804 3.4
14.099999999999966 6.6365266400000005 3.4
14.199999999999966 6.67719299 3.4
14.299999999999965 6.63477679 3.4
14.399999999999965 6.67858507 3.4
14.499999999999964 6.63799211 3.4
14.599999999999964 6.68226367 3.4
14.699999999999964 6.63485017 3.4
14.799999999999963 6.66534076 3.4
14.899999999999963 6.64857839 3.4
14.999999999999963 6.65694926 3.4
15.099999999999962 6.651215789999999 3.4
15.199999999999962 6.6513511 3.4
15.299999999999962 6.66639113 3.4
15.399999999999961 6.65805467 3.4
15.499999999999961 6.69221926 3.4
15.59999999999996 6.66027008 3.4
15.69999999999996 6.6931435 3.4
15.79999999999996 6.65506638 3.4
15.89999999999996 6.68384381 3.4
15.99999999999996 6.65351376 3.4
16.09999999999996 6.68177288 3.4
16.19999999999996 6.66007056 3.4
16.29999999999996 6.66539809 3.4
16.399999999999963 6.66203828 3.4
16.499999999999964 6.67255805 3.4
16.599999999999966 6.6513212799999994 3.4
16.699999999999967 6.67297315 3.4
16.79999999999997 6.647670209999999 3.4
16.89999999999997 6.66781074 3.4
16.99999999999997 6.62825668 3.4
17.099999999999973 6.674204700000001 3.4
17.199999999999974 6.6357881700000005 3.4
17.299999999999976 6.67286995 3.4
17.399999999999977 6.6348983299999995 3.4
17.49999999999998 6.6709480899999996 3.4
17.59999999999998 6.65024339 3.4
17.69999999999998 6.67369328 3.4
17.799999999999983 6.661111750000001 3.4
17.899999999999984 6.67111092 3.4
17.999999999999986 6.66238 3.4
18.099999999999987 6.68133714 3.4
18.19999999999999 6.67587888 3.4
18.29999999999999 6.67145952 3.4
18.39999999999999 6.667744229999999 3.4
18.499999999999993 6.66874644 3.4
18.599999999999994 6.672106250000001 3.4
18.699999999999996 6.64970444 3.4
18.799999999999997 6.675784849999999 3.4
18.9 6.64940172 3.4
19.0 6.67949325 3.4
19.1 6.673826289999999 3.4
19.200000000000003 6.67353274 3.4
19.300000000000004 6.6737322599999995 3.4
19.400000000000006 6.68494005 3.4
19.500000000000007 6.68403187 3.4
19.60000000000001 6.69639781 3.4
19.70000000000001 6.680853229999999 3.4
19.80000000000001 6.70603692 3.4
19.900000000000013 6.68134631 3.4
