U_G I_D U_D
0.9200000000000005 -4.37986452e-05 10.0
0.9400000000000005 -0.000125903812 10.0
0.9600000000000005 -1.48278104e-05 10.0
0.9800000000000005 -9.19596317e-05 10.0
1.0000000000000004 2.1558082300000002e-05 10.0
1.0200000000000005 -8.248790950000001e-05 10.0
1.0400000000000005 4.99963056e-05 10.0
1.0600000000000005 -8.065028470000001e-05 10.0
1.0800000000000005 8.56720498e-05 10.0
1.1000000000000005 -4.56616324e-05 10.0
1.1200000000000006 0.000103054551 10.0
1.1400000000000006 -2.0564335399999998e-05 10.0
1.1600000000000006 9.44036496e-05 10.0
1.1800000000000006 3.12995688e-05 10.0
1.2000000000000006 9.03986882e-05 10.0
1.2200000000000006 8.104916690000001e-05 10.0
1.2400000000000007 6.93801343e-05 10.0
1.2600000000000007 0.00010400449 10.0
1.2800000000000007 5.07272053e-05 10.0
1.3000000000000007 0.000107154045 10.0
1.3200000000000007 -1.1528386300000001e-07 10.0
1.3400000000000007 9.007358770000001e-05 10.0
1.3600000000000008 -4.28256494e-05 10.0
1.3800000000000008 8.96262863e-05 10.0
1.4000000000000008 -0.000105122743 10.0
1.4200000000000008 7.11854796e-05 10.0
1.4400000000000008 -0.000123524353 10.0
1.4600000000000009 6.27974258e-05 10.0
1.4800000000000009 -0.00011144491 10.0
1.5000000000000009 1.46341335e-05 10.0
1.520000000000001 -9.20841383e-05 10.0
1.540000000000001 -5.3487100999999994e-05 10.0
1.560000000000001 -8.17247303e-05 10.0
1.580000000000001 -9.34813787e-05 10.0
1.600000000000001 -5.83659141e-05 10.0
1.620000000000001 -0.000124515795 10.0
1.640000000000001 -8.076787429999999e-06 10.0
1.660000000000001 -0.000101233066 10.0
1.680000000000001 2.76081795e-05 10.0
1.700000000000001 -8.03367126e-05 10.0
1.720000000000001 6.57948062e-05 10.0
1.740000000000001 -5.44001492e-05 10.0
1.7600000000000011 9.54181476e-05 10.0
1.7800000000000011 -2.98354637e-05 10.0
1.8000000000000012 0.000109667233 10.0
1.8200000000000012 2.2249785499999998e-06 10.0
1.8400000000000012 9.34421822e-05 10.0
1.8600000000000012 1.76776275e-05 10.0
1.8800000000000012 9.6379615e-05 10.0
1.9000000000000012 6.38626487e-05 10.0
1.9200000000000013 9.08367669e-05 10.0
1.9400000000000013 0.000103836175 10.0
1.9600000000000013 6.48517842e-05 10.0
1.9800000000000013 0.00011093305000000001 10.0
2.0000000000000013 3.64435347e-05 10.0
2.0200000000000014 0.00010043991299999999 10.0
2.0400000000000014 -2.22290344e-05 10.0
2.0600000000000014 0.00010747914500000001 10.0
2.0800000000000014 -6.40056006e-05 10.0
2.1000000000000014 0.000102123057 10.0
2.1200000000000014 -9.2757396e-05 10.0
2.1400000000000015 0.000101763371 10.0
2.1600000000000015 -8.86417621e-05 10.0
2.1800000000000015 4.9987082899999996e-05 10.0
2.2000000000000015 -4.3120776e-05 10.0
2.2200000000000015 1.1908823000000001e-05 10.0
2.2400000000000015 -1.77767716e-05 10.0
2.2600000000000016 1.6402587999999998e-05 10.0
2.2800000000000016 4.56109075e-05 10.0
2.3000000000000016 3.8020618e-06 10.0
2.3200000000000016 0.000116570431 10.0
2.3400000000000016 6.28158712e-05 10.0
2.3600000000000017 0.000249548061 10.0
2.3800000000000017 0.000201938131 10.0
2.4000000000000017 0.00039804751000000003 10.0
2.4200000000000017 0.00036204897100000004 10.0
2.4400000000000017 0.000615562797 10.0
2.4600000000000017 0.000614795007 10.0
2.4800000000000018 0.0009333519880000001 10.0
2.5000000000000018 0.000990329884 10.0
2.520000000000002 0.0013485399 10.0
2.540000000000002 0.00156523898 10.0
2.560000000000002 0.0020515731800000003 10.0
2.580000000000002 0.0024647736 10.0
2.600000000000002 0.00307987296 10.0
2.620000000000002 0.00381474072 10.0
2.640000000000002 0.004697888900000001 10.0
2.660000000000002 0.0058236819399999995 10.0
2.680000000000002 0.00714081623 10.0
2.700000000000002 0.00896689649 10.0
2.720000000000002 0.0110024844 10.0
2.740000000000002 0.013673325699999999 10.0
2.760000000000002 0.0167356317 10.0
2.780000000000002 0.0211237507 10.0
2.800000000000002 0.0258936737 10.0
2.820000000000002 0.0321789455 10.0
2.840000000000002 0.039932334400000005 10.0
2.860000000000002 0.0494671082 10.0
2.880000000000002 0.0606002515 10.0
2.900000000000002 0.07490541 10.0
2.920000000000002 0.092669922 10.0
2.940000000000002 0.114029645 10.0
2.960000000000002 0.139136473 10.0
2.980000000000002 0.170647904 10.0
